Empresa,Relato_Lematizao_SW
Caixa Econômica Federal,"['crédito', 'fazer', 'empréstimo', 'nome', 'encontrar', 'serasa', 'si', 'empréstimo', 'ajudar', 'colocar', 'ordem', 'financiamento', 'clt', 'ganhar', 'salário', 'mínimo']"
Nubank,"['pagamento', 'negociacao']"
Nubank,"['exclusao', 'nome', 'retirar', 'negativacao', 'nome', 'spcserasa']"
C6 Bank,"['cliente', 'bank', 'tempo', 'sempre', 'manter', 'relacionamento', 'regular', 'bom', 'histórico', 'outro', 'instituição', 'financeiro', '.', 'durante', 'período', 'busquei', 'obter', 'limite', 'crédito', 'adequado', 'perfil', 'financeiro', 'enfrentar', 'dificuldade', 'contínuo', 'processo', '.', 'cheguei', 'limite', 'r', 'justificativa', 'claro', 'posteriormente', 'cancelar', '.', 'ocorrer', 'possuir', 'limite', 'significativo', 'outro', 'banco', 'refletir', 'perfil', 'cliente', 'confiável', 'responsável', '.', 'considerar', 'bank', 'realizar', 'análise', 'levar', 'conta', 'capacidade', 'crédito', 'maneira', 'completo', 'justa', 'considerar', 'histórico', 'positivo', 'pontuação', 'crédito', 'outro', 'instituição', '.', 'situação', 'gerar', 'sensação', 'injustiça', 'sinto', 'perfil', 'financeiro', 'lealdade', 'banco', 'devidamente', 'considerar', 'análise', '.', 'acreditar', 'tratamento', 'minucioso', 'justo', 'dado', 'poder', 'refletir', 'melhor', 'potencial', 'financeiro', 'possibilitar', 'limite', 'crédito', 'compatível', 'necessidade', 'histórico', '.', 'gostar', 'solicitar', 'bank', 'reavaliar', 'perfil', 'cuidado', 'clarezar', 'considerar', 'todo', 'aspecto', 'relevante', 'poder', 'usufruir', 'serviço', 'crédito', 'forma', 'justo', 'coerente', 'perfil', 'financeiro', '.', 'aguardo', 'resposta', 'possar', 'solucionar', 'questão', 'forma', 'justo', '.']"
Nubank,"['gostar', 'reclamar', 'sobre', 'dívida', 'querer', 'constar', 'nome', '.', 'paguei', 'nome', 'ainda', 'sujo']"
Banco Itaú Unibanco,"['itaú', 'financiamento', 'fazer', 'constar', 'scr', 'lista', 'suposto', 'dívida', 'nome', 'último', 'ano', 'atrapalhar', 'relação', 'financeiro', 'outro', 'banco', '.', 'gostar', 'exclusão', 'nome', 'lista', '.']"
Nubank,"['acordo', 'pagamento', 'dívida', '.', 'tentar', 'fazer', 'financiamento', 'imóvel', 'liberar', 'nome', 'constar', 'prejuízo', 'Banco', 'central', 'registrato', '.', 'nome', 'precisar', 'retirar', 'imediatamente']"
Banco Itaú Unibanco,"['primeiramente', 'querer', 'agradecer', 'banco', 'itau', 'ajudar', 'algum', 'problema', 'furto', 'conceder', 'credito', 'novamente', 'mostrar', 'novo', 'chance', '.', 'infelizmente', 'acontecer', 'algo', 'pedir', 'cancelar', 'nao', 'cancelar', 'poder', 'ate', 'pegar', 'ligação', '.', 'banco', 'conceder', 'novamente', 'deposito', 'antecipar', 'pedir', 'cancelar', 'conta', 'piorar', 'vao', 'cobrar', 'tarifa', 'exorbitante', 'r', '.']"
Nubank,"['reclamaçãor', 'nubank', 'gostar', 'registrar', 'insatisfação', 'instituição', 'financeiro', '.', 'juro', 'praticar', 'desrespeito', 'consumidor', '.', 'dívida', 'quase', 'ano', 'aposentar', 'ano', 'receber', 'salário', 'mínimo', 'valor', 'r', 'ocasião', 'cartão', 'renda', 'informal', 'durante', 'pandemia', 'perdi', 'valor', 'sempre', 'paguei', 'fatura', 'sempre', 'valor', 'acima', 'total', 'fatura', '.', 'infelizmente', 'problema', 'grave', 'saúde', 'dinheiro', 'sobrar', 'usar', 'cartão', 'crédito', 'vir', 'pagar', 'fatura', 'normalmente', 'chegar', 'momento', 'condição', 'pagar', 'fatura', '.', 'acontecer', 'novembro', 'exatamente', 'vencimento', 'fatura', '.', 'conversar', 'algum', 'atendente', 'através', 'email', 'expliqueir', 'situação', 'esperar', 'ajudar', 'inclusive', 'atendente', 'informei', 'desejo', 'quitar', 'dívida', 'breve', 'possível', 'ainda', 'ameaçar', 'informar', 'consequência', 'bom', 'quitar', 'ocasião', 'desejo', 'quitar', 'livrar', 'instituição', 'cento', 'juro', 'menos', 'ano', 'admissível', 'covardia', 'querer', 'quitar', 'facilitar', 'motivo', 'número', 'inadimplente', 'crescer', 'assustadoramente', 'Brasil', 'querer', 'quitar', 'juro', 'justo', 'juro', 'abusivo', 'att', '.', 'Rosa', 'Maria', 'bachur']"
Caixa Econômica Federal,"['desejo', 'participar', 'mutirão', 'renegociação', '.']"
Nubank,"['verifiquei', 'extrato', 'serasa', 'constar', 'cobrança', 'serviço', 'r', 'valor', 'r', 'reconhecer', 'exorbitantemente', 'acima', 'valor', 'inicial', 'dívida', 'saldo', 'restante', 'fatura', 'cartão', 'crédito', '.', 'informo', 'negativação', 'Banco', 'nubankr', 'somar', 'juro', 'encargo', 'exorbitante', 'ficar', 'impossível', 'pagamento', '.']"
Banco do Brasil,"['bom', 'tarde', 'reclamação', 'referente', 'bloqueio', 'conta', 'corrente', 'agora', 'bloquear', 'operação', 'poupança', 'hoje', 'volta', 'fazer', 'transferência', 'via', 'pix', 'aparecer', 'mensagem', 'onde', 'conseguir', 'fazer', 'transferência', 'antes', 'conseguir', 'fazer', 'transferência', 'poupança', 'saber', 'porque', 'Banco', 'Brasil', 'ficar', 'impor', 'restrição', 'conta', 'devar', 'nada', 'instituição', '.', 'colocar', 'restrição', 'obrigar', 'cliente', 'comparecer', 'agência', 'poder', 'acontecer', '.']"
Nubank,"['dívida', 'cerca', 'real', 'hoje', 'percebo', 'juro', 'acima', 'média', 'Banco', 'central', 'evolução', 'dívida']"
Caixa Econômica Federal,"['verifiquei', 'data', 'presente', 'nome', 'constar', 'registrar']"
Caixa Econômica Federal,"['verifiquei', 'extrato', 'contar', 'corrente', 'constar', 'cobrança', 'serviço', 'empréstimo', 'valor', 'r', 'reconhecer', 'solicitei', 'autorizar', 'contratação', '.', 'empréstimo', 'caixa', 'data', 'valor', '.']"
Nubank,"['negociação', 'cartão', 'crédito', 'porém', 'valor', 'ofertar', 'acrescido', 'juro', 'alto', 'ver', 'valor', 'contratar', '.']"
Nubank,"['verifiquei', 'extrato', 'cartão', 'crédito', 'contar', 'corrente', 'constar', 'cobrança', 'juro', 'alto', 'valor', 'achar', 'juro', 'abusivo', 'tentar', 'acordo', 'tentar', 'contra', 'proposta', 'valor', 'rs', 'onde', 'divido', 'atual', 'rs', '.']"
Nubank,"['verifiquei', 'relatório', 'scr', 'registrato', 'geração', 'relatório', 'ate', 'ano', 'constar', 'prejuízo', 'negociação', 'pago', '.']"
Nubank,"['negociação', 'pagar', 'parcela', 'continuar', 'cobrar', 'juro', 'forma', 'nunca', 'terminar', 'pagar', 'além', 'devo', 'cartão', 'base', 'cobrar', 'mil', 'tentar', 'negociação', 'valor', 'justo', 'aceitar', '.', 'entender', 'querer', 'receber']"
Nubank,"['agosto', 'acordo', 'nubank', 'sobre', 'dívida', 'pendente', 'realizeir', 'pagamento', 'acordo', 'banco', 'retirar', 'nome', 'serasa', 'dizer', 'bacen', 'banco', 'ainda', 'acusar', 'débito', 'estado', 'vencer', 'pagamento', 'acordo', '.']"
Banco Itaú Unibanco,"['solicitar', 'exclusão', 'nome', 'lista', 'anexo', '.']"
Banco Inter (Banco Intermedium),"['encerramento', 'conta', 'cashback', 'pendente', 'compensação', 'inter', 'shop', 'ponto', 'inter', 'Loop', 'receber', 'protocolo', 'anterior', 'responder', 'solicitar', 'ver', 'app', '.', 'acessar', 'app', 'conta', 'bloquear', 'solicitar', 'ultimo', 'dizer', 'participar', 'basta', 'aceitar', 'termo', 'condição', 'super', 'app', 'dentro', 'seção', 'inter', 'Loop', 'ponto', 'lá', 'informar', 'pessoal', 'saber', 'ler', '.', 'continuar', 'sobre', 'recebimento', 'ponto', 'identificar', 'seguir', 'principal', 'regra', 'programa', 'inter', 'Loop', 'débito', 'automático', 'ativo', '.', 'pequeno', 'significar', 'aceitar', 'termo', 'condição', 'evidenciar', 'incoerencia', 'resposta', '.', 'contexto', 'vale', 'dizer', 'cartão', 'goldr', 'platinum', 'black', 'segmento', 'black', 'mei', 'necessário', 'débito', 'automático', 'fatura', 'ativo', '.', 'cliente', 'segmento', 'black', 'win', 'precisar', 'ativar', 'débito', 'automático', '.', 'cliente', 'pj', 'precisar', 'ativar', 'primeiro', 'ano', 'débito', 'automatico', 'ta', 'habilitar', 'segmento', 'black', 'acordo', 'proprio', 'regra', 'precisaria', '.', 'n', 'saber', 'ainda', 'surpreer', 'incompetencia', 'resposta', '.', 'aceitar', 'termo', 'recebir', 'ponto', 'debito', 'automatico', 'então', 'problema', 'termo', 'black', 'precisar', 'debito', 'automatico', 'black', '.', 'parabéns', 'superar', 'expectativa', 'macaquisse', 'comum', '...']"
Banco Santander,"['renegociação', 'dívida', 'consignado', 'montante', 'contrato', 'pagamento', 'parcelar', 'impor', 'banco', 'tornar', 'impagável', 'comprometento', 'outro', 'pagamento', 'subsistência', '.']"
C6 Bank,"['realizeir', 'contratação', 'cdb', 'cartão', 'crédito', 'limite', 'garantir', 'investimento', 'r', 'intenção', 'liberar', 'limite', 'cartão', 'crédito', '.', 'porém', 'realizar', 'investimento', 'informar', 'atendente', 'função', 'crédito', 'poder', 'liberar', 'devido', 'acordo', 'anteriormente', 'venho', 'pagar', 'mensalmente', '.', 'ressalto', 'nenhum', 'fatura', 'sistema', 'cartão', 'configurar', 'apenas', 'função', 'débito', '.', 'hoje', 'tentar', 'realizar', 'resgate', 'valor', 'investir', 'cdb', 'recebir', 'mensagem', 'resgate', 'realizar', 'valor', 'cdb', 'cartão', 'crédito', 'cartão', 'poder', 'resgatar', 'valor', 'pagar', '.', 'desde', 'então', 'tentar', 'resolver', 'situação', 'meio', 'chat', 'telefone', 'sucesso', '.', 'nenhum', 'atendente', 'conseguir', 'informar', 'motivo', 'retenção', 'cada', 'contato', 'transferir', 'responsabilidade', 'outro', 'setor', '.', 'reforço', 'possuor', 'nenhum', 'valor', 'bank', 'retenção', 'valor', 'portanto', 'abusivo', 'fundamento', '.']"
Banco Inter (Banco Intermedium),"['atendimento', 'negar', 'proprio', 'mensagem', 'banco', 'funcionar', 'banco', 'negar', 'atendimento', 'alegar', 'horário', '.']"
Banco Inter (Banco Intermedium),"['prorrogação', 'conceder', '.', 'realizar', 'solicitação', 'portabilidade', 'ativo', 'sla', 'finalizar', '.', 'entrar', 'contato', 'dois', 'vez', 'protocolo', 'utel', '.', 'banco', 'simplesmente', 'respeitar', 'cliente', 'achar', 'poder', 'fazer', 'querer', 'ta', 'tudo', 'certo', 'protocolado', 'justiça', 'querer', 'acordo', '.', 'impossibilitar', 'movimentar', 'ativo', 'questão', 'devido', 'conta', 'bloquear', 'prejuízo', 'financeiro', 'volatidade', 'ativo', '.']"
Banco Inter (Banco Intermedium),"['empresa', 'agir', 'contra', 'termo', 'plataforma', 'responder', 'finalizar', 'pedido', 'prorrogação', 'responder', 'plataforma', '.', 'tanto', 'responder', 'prorrogação', 'resposta', '.', 'protocolo', 'copiar', 'resposta', 'outro', 'protocolo', '.', 'ultimo', 'protocolo', 'resposta', 'incoerente', '.', 'encerramento', 'conta', '.', 'possuo', 'conta', 'cashback', 'pendente', 'compensação', 'inter', 'shop', 'ponto', 'inter', 'Loop', 'recebir', 'ponto', 'inter', 'Loop', 'pendente', 'pagamento', 'fatura', '.']"
Banco Inter (Banco Intermedium),"['protocolo', 'anterior', 'nenhum', 'reclamação', 'responder', 'postergação', 'resposta', 'resposta', '.', 'além', 'n', 'relação', 'investimento', 'fii', 'rendimento', 'junho', 'r', 'cota', 'inter', 'pagar', 'apenas', 'r', 'protocolo', 'anterior', 'afirmar', 'vez', 'r', 'ainda', 'assim', 'admitir', 'rendimento', 'r', 'unidade', 'negar', 'pagamento', 'valor', 'restante', '.', 'rendimento', 'julho', 'r', 'cota', 'valor', 'receber', 'incorreto', 'valor', 'r', 'informação', 'público', 'poder', 'verificar', 'informação', 'próprio', '.', 'solicitar', 'protocolo', 'anterior', '.']"
Banco Santander,"['venho', 'meio', 'registrar', 'reclamação', 'relação', 'situação', 'financeiro', 'banco', '.', 'negociei', 'contrato', 'empréstimo', 'valor', 'r', 'r', 'dividir', 'parcela', 'r', '.', 'cumpri', 'todo', 'pagamento', 'mês', 'dezembro', 'afastar', 'atividade', 'profissional', '.', 'devido', 'afastamento', 'conseguir', 'honrar', 'pagamento', 'partir', 'fevereiro', 'totalizar', 'parcela', 'atraso', '.', 'tentar', 'negociar', 'dívida', 'banco', 'informar', 'margem', 'disponível', 'novo', 'negociação', '.', 'único', 'opção', 'apresentar', 'pagamento', 'integral', 'parcela', 'hoje', 'totalizar', 'aproximadamente', 'r', '.', 'aplicativo', 'banco', 'constatar', 'valor', 'total', 'dívida', 'aparecer', 'r', 'considerar', 'abusivo', 'exorbitante', 'especialmente', 'diante', 'condição', 'atual', '.', 'peçar', 'intervenção', 'consumidor.gov.br', 'situação', 'rever', 'poder', 'encontrar', 'solução', 'justo', 'viável', 'regularizar', 'dívida', 'submetir', 'cobrança', 'excessivo', '.', 'aguardo', 'retorno', 'agradeço', 'atenção', '.', 'atenciosamente']"
Banco Itaú Unibanco,"['verifiquei', 'site', 'Banco', 'central', 'constar', 'dívir', 'nome', 'porém', 'quitar', 'gostar', 'retirar', 'melhorar', 'score', 'porque', 'cartão', 'crédito', 'crediario', 'prejudicar']"
