Empresa,Relato
Cemig,Preciso do formulário para análise de carga rural.
Cemig,De que maneira será realizado o recadastramento rural?
Cemig,Qual é a bandeira tarifária em vigor atualmente e até quando ela permanecerá válida?
Equatorial Maranhão (CEMAR),Cadastro de tarifa social. NIS: XXX.XXX.XXX-XX Cadastro de baixa renda.
Cemig,Qual a documentação para troca de titularidade?
Cemig,Como faço para falar com a cemig estando fora do estado de Minas Gerais?
Cemig,Como obter suporte de atendimento nos canais digitais?
Cemig,Como obter suporte de atendimento nos canais digitais ?
Cemig,"Do que se trata o novo investimento da Cemig? Vi essa notícia e fiquei interessado em saber mais, O que seria o maior investimento da história em melhorias na rede elétrica e no atendimento"
Vivo - Telefônica,"Em XXXXX-XXXXXX-X024, recebi contato por WhatsApp da gerente comercial da Vivo Janaina Camargo (11) XXXXX-X536, que meu plano Vivo Fibra 500MBPS completou mais de 12 meses com tecnologia antiga FTTH e teria reajuste de 27,46% (de R$ 119,90 para R$189,90). Sugeriu cancelar o plano e fazer um novo plano com CPF diferente para Nova Tecnologia 5HG e mesmo valor de R$ 119,90, assim, aderi ao novo plano em nome e CPF da minha esposa. Em XXXXX-XXXXXX-X024, foi instalado novo modem do novo plano e pedi à gerente Janaina o cancelamento do meu plano, ela informou que levava 24h para o sistema da Vivo cancelar e gerar o protocolo. Em XXXXX-XXXXXX-X024, a gerente Janaina passou PROTOCOLO DE CANCELAMENTO XXX.XXX.XXX-XX76CANC. Em XXXXX-XXXXXX-X024, liguei na Central de Atendimento e o atendente Thiago disse que não poderia resolver e me transferiu para o atendente João, que depois de 34min37s de ligação, disse que o plano estava ativo, que fez o cancelamento PROTOCOLO XXX.XXX.XXX-XX544, e que não poderia fazer mais nada e que a consultora Janaina tinha mentido sobre o cancelamento para ganhar comissão pelas vendas. Procedimento ilegal e imoral dos representantes da Vivo. Em XXXXX-XXXXXX-X024 (vencimento XXXXX-XXXXXX-X024), recebi fatura proporcional (DE 21/09/24 A 30/09/24) no valor de R$ 40,00."
Equatorial Maranhão (CEMAR),"Tentei por duas vezes trocar a titularidade da minha conta contrato, porém, as duas não obtive êxito."
iFood,"Fiz um pedido de dois cachorros quentes no cachorrão Hot Dog - ILHA (número do pedido 4449) em 27/10/2024 às 22:52, onde o cachorro quente 1 deveria ter somente milho, batata palha, queijo, maionese, catchup, mostarda e molho de panela. Acontece que o cachorro quente em questão veio com itens que não foram pedidos. (ervilha e vinagrete). Tentamos contato com o estabelecimento e não fomos atendidos, aguardamos os 7 minutos que o aplicativo do ifood pede para resolução diretamente com o estabelecimento, onde não fomos atendidos. Nos dando a opção de resolução através do atendimento do ifood. Entramos em contato com o atendimento do ifood, e apesar de enviar todas as evidencias, como print do pedido, foto do produto recebido, ofereceu um voucher de 8 reais com validade de 7 dias, onde o produto em si custou R$21,99. Informamos que não tinhamos interesse no voucher, uma vez que o produto adiquirido veio errado, e gostaríamos de optar pelo reembolso do valor pago no produto em questão conforme art 35 do CDC. Este reembolso foi negado pela empresa alegando que nada podiam fazer a respeito. Acredito que além de não cumprirem o código de defesa do consumidor, nos deixarem com fome, ainda tem a questão da segurança alimentar, pois caso tivesse algum tipo de alergia a alguns ingredientes não solicitados ainda poderia ter problemas maiores. Como o pedido foi feito através da plataforma ifood, o pagamento foi feito diretamente ao ifood, este deve arcar solidáriamente ao erro do estabelecimento. Portanto solicitamos apenas que seja feito o estorno parcial do valor pago no item 1 do pedido R$21,99 (vinte um reais e noventa e nove centavos)."
iFood,"pedido numero 4361, entregue em 28/10/2024. Veio faltando uma caixa de cloridrato de Ondansetrona 4mg Althaia 10 comprimidos. Quando vou reclamar no aplicativo aparece mensagem de erro. Impossibilitado de reclamar do pedido por restrição de acesso do APP. solicito reembolso de valor"
Cemig,Quem define a data de vencimento da minha conta de energia? Tenho opção de escolha?
Cemig,Quem define a data de vencimento da minha conta de energia? Tenho opção de escolha?
Cemig,Como fico sabendo sobre desligamento programado?
Cemig,O que seria o maior investimento da história em melhorias na rede elétrica e no atendimento?
Cemig,Como fico sabendo sobre desligamento programado?
Cemig,O que seria o maior investimento da história em melhorias na rede elétrica e no atendimento?
SPC Brasil,"Acionei por meio dos canais se atendimento para correção dos dados pessoais, enviei as documentações solicitadas, mas até o momento não foram atualizadas e sem nenhum retorno . Gostaria que atualizasse os dados conforme solicitados . Ou liberasse a atualização por meio do aplicativo ."
Hurb - Hotel Urbano,Ainda aguardo os reembolsos dos pacotes cancelado ano passado. Só fazem é enrolar os clientes e não devolvem os valores. Pedidos: 10196941 e 8971067. Essa empresa é um lixo. Mesmo com reclamações tem todos os lugares e emrpesa simplesmente não da atenção e continua vendendo pacotes como se estivesse tudo ok. Cade o governo para fazer algo.
Cartões Renner (Realize CFI),"Meu nome consta com dividas junto ao BACEN, porém as dividas foram quitadas conforme acordo."
Hurb - Hotel Urbano,"Gostaria de solicitar o estorno do valor referente ao meu pedido cancelado com a Hurb, conforme previamente acordado no processo de cancelamento. O pedido de cancelamento foi realizado em 28/08, o que indica que o prazo de reembolso parcial de até 60 dias terminou em 27/10/2024. Ao verificar o status do meu cancelamento, observei que a nova data para reembolso está sendo indicada como 26/11/2024. Porém, solicito que o reembolso parcial seja efetuado até a data de 27/10/2024, conforme o prazo estabelecido. Caso contrário, requeiro o reembolso integral do valor pago. Aguardo um retorno breve e a confirmação do estorno conforme combinado."
Equatorial Piauí,"foi solicitado o pedido de vistoria para ligar meu sistema solar, acontece que não teve retorno e estou sendo prejudicada pelo atraso dessa empresa, solicito providencia para que seja feito meu atendimento o quanto antes"
Equatorial Piauí,"no dia 14/01/2024 durante uma forte chuva, houve a falta de energia e toda a região, ao retornar essa apresentou oscilação, essa irregularidade ocasionou a queima de uma bomba, solicito o ressarcimento pois não posso fica pagando pela prejuízo ocasionado por energia de péssima qualidade"
Equatorial Piauí,"fui ao atendimento solicitar a troca de titularidade da instalação, porém, não registram devido alegação de documento sem a data de vigência, hoje fui novamente e houve nova negativa sem explicar o motivo, assim, solicito providência."
Equatorial Piauí,"Foi calculado uma multa na minha instalação, necessito da memória de cálculo pois no KIT entregue não foi disponibilizado"
GBarbosa,"Mais uma vez venho aqui reclamar do péssimo atendimento e péssimo serviço de compra online do GBarbosa. O atendimento no WhatsApp é uma porcaria, dessa vez mandaram uma mensagem:"" Olá, Samir! Ainda não recebemos sua validação sobre a substituição dos produtos; Você pode: Escolher a substituição entre os candidatos sugeridos Optar por não substituí-lo(s). Importante: Você ainda tem 10 minutos para realizar a substituição dos seus produtos, após este prazo excluiremos os itens"" . E não citam os produtos indisponíveis, sendo que toda compra faltam produtos, então pra quê deixam disponíveis na merda do site? Sempre não tem leite integral zero,SEMPRE! Como não veio a relação de produtos faltosos, liguei para o 0800 720 1111 e me informaram que dessa vez não tinha o feijão, a aveia e pra variar o leite zero. A gente faz a compra no site, no dia anterior, no dia seguinte faltando poucas horas da entrega, mandam uma mensagem informando que não tem os produtos selecionados e dessa vez não informaram os produtos. A gente precisando dos alimentos, pois nao tem em casa e o gBarbosa deixa a gente na mão. Será que Procon ou a imprensa resolvem essa bagunça e falta de respeito de vocês? Pedido: GBXXXXX-X1"
Equatorial Piauí,"tenho débito automático e foi feito o pagamento pelo pix, assim desejo a devolução do valor pago em duplicidade"
Equatorial Piauí,foi feito o requerimento para realização de uma poda e até o momento sem retorno.
Equatorial Piauí,"foi feito o pedido de deslocamento da rede e poste que passa dentro do terreno que vou fazer uma construção, porém, a empresa não deu o retorno."
Equatorial Piauí,"resultado do meu pedido de danos elétricos, não foi feito a vistoria e não deram retorno"
Uber,"Estava visualizando uma corrida e sem querer solicitei na mesma hora cancelei, porém como foi débito no meu Nupay ao invés de estorna o valor está aparecendo o crédito, porém eu quero o estorno não crédito"
Serasa Experian,Fiz todos os pagamentos das minhas dúvidas e a muitas consultas ao meu nome na serrada
Serasa Experian,Eles estão fazendo meu dados sem minha autorização
Hurb - Hotel Urbano,"Comprei 2 pacotes que totalizaram 6 mil. Não realizei a viagem, cancelei tudo dentro do prazo legal do reembolso integral, conforme está no aplicativo. Pedi reembolso há mais de um ano, não me reembolsaram. Estou necessitando do dinheiro que há mais de um ano tive que pedir dinheiro para despesa pessoais de minha cirurgia de urgência e falecimento do meu pai. A Hurb desrespeitosamente não cumpriu o prazo de reembolso, já há mais de um ano."
