Empresa,Relato,Avaliacao
Caixa Econômica Federal,não consigo crédito pra fazer um empréstimo meu nome não se encontra no serasa mas não consigo empréstimo pra me ajudar a colocar em ordem esse financiamento já que sou clt e ganho salário mínimo,3
Nubank,ja houve o pagamento da negociacao,2
Nubank,exclusao do nome retirar negativacao do nome spcserasa,1
C6 Bank,sou cliente do c6 bank há tempos sempre mantendo um relacionamento regular e com bom histórico em outras instituições financeiras. durante esse período busquei obter um limite de crédito adequado ao meu perfil financeiro mas enfrentei dificuldades contínuas nesse processo. cheguei a ter um limite de r 30000 que sem justificativa clara foi posteriormente cancelado. isso ocorreu mesmo eu possuindo limites significativos em outros bancos refletindo um perfil de cliente confiável e responsável. considero que o c6 bank ao realizar suas análises não tem levado em conta minha capacidade de crédito de maneira completa e justa considerando meu histórico positivo e minha pontuação de crédito em outras instituições. essa situação gera uma sensação de injustiça pois sinto que meu perfil financeiro e minha lealdade ao banco não estão sendo devidamente considerados na análise. acredito que um tratamento mais minucioso e justo dos meus dados poderia refletir melhor meu potencial financeiro possibilitando um limite de crédito compatível com minhas necessidades e histórico. gostaria de solicitar que o c6 bank reavaliasse meu perfil com mais cuidado e clareza considerando todos os aspectos relevantes para que eu possa usufruir dos serviços de crédito de forma justa e coerente com o meu perfil financeiro. aguardo uma resposta para que possamos solucionar essa questão de forma justa.,1
Nubank,gostaria de reclamar sobre essa dívida quer está constando no meu nome. pq já paguei e meu nome ainda está sujo,5
Banco Itaú Unibanco,o itaú financiamentos fez constar na scr uma lista de uma suposta dívida em meu nome dos últimos 5 anos atrapalhando minha relação financeira em outros bancos . gostaria da exclusão do meu nome dessa lista .,1
Nubank,eu fiz um acordo para pagamento da minha dívida. estou tentando fazer o financiamento de um imóvel e não estão liberando pq meu nome consta no prejuízo do banco central registrato. meu nome precisa ser retirado imediatamente,3
Banco Itaú Unibanco,primeiramente quero agradecer o banco itau pois me ajudou em alguns problemas como furto que tive me concedeu credito novamente mostrando uma nova chance a mim. porem infelizmente aconteceu algo que eu ja havia pedido para cancelar e nao foi cancelado podem ate pegar pelas ligações em que fiz. o banco concedeu novamente esse deposito antecipado na qual eu pedi para cancelar da minha conta e para piorar vao me cobrar uma tarifa exorbitante de r 5990.,5
Nubank,reclamação nubank gostaria de registrar minha insatisfação com essa instituição financeira. os juros praticados por eles é um desrespeito com o consumidor. uma dívida que era de 1.90000 em 13112023 já está em quase 17.00000 não tem nem um ano eu sou aposentada tenho 68 anos e recebo um salário mínimo no valor de r 1.41200 na ocasião em que eu fiz o cartão eu tinha uma renda informal e durante a pandemia eu perdi esses valores eu sempre paguei as minhas faturas em dia sempre com um valor acima do total da fatura. infelizmente em 2023 tive um problema grave de saúde e como eu não tinha dinheiro sobrando tive que usar o cartão de crédito e vinha pagando as faturas normalmente mas chegou um momento que eu não tinha mais condições de pagar a fatura. isso aconteceu em novembro de 2023 exatamente no dia do vencimento da fatura que era no dia 12112023. conversei com alguns atendentes através do email expliquei a situação e esperava que eles me ajudassem o que foi em vão inclusive uma das atendentes quando informei que o meu desejo era quitar a dívida o mais breve possível ainda fui ameaçada pela mesma me informando que as consequências não seriam boas se eu não quitasse naquela ocasião desejo quitar e me livrar dessa instituição 1000 por cento de juros em menos de um ano não é admissível é uma covardia eu quero quitar mas eles não facilitam esse é um dos motivos pelo qual o número de inadimplentes cresce assustadoramente no brasil quero quitar mas com juros justos e não com esses juros abusivos att. rosa maria bachur,1
Caixa Econômica Federal,desejo participar do mutirão de renegociação.,1
